_id,song,orig,cover,in_album
5f12ecf70bad3a78ca43c14e,I Want You to Want Me,Cheap Trick,Aly Michalka,Bandslam
5f12ecf70bad3a78ca43c14f,I Want You to Want Me,Cheap Trick,Chris Isaak,Best of Chris Isaak
5f12ecf70bad3a78ca43c150,I Want You To Want Me,Cheap Trick,Dwight Yoakam,The Very Best of Dwight Yoakam
5f12ecf70bad3a78ca43c151,I Want You to Want Me,Cheap Trick,Hanson,Live at the Hammerstein
5f12ecf70bad3a78ca43c152,I Want You to Want Me,Cheap Trick,Jani Lane,Cheap Dream: Cheap Trick Tribute
5f12ecf70bad3a78ca43c153,I Want You to Want Me,Cheap Trick,Leif Garrett,The Best of Leif Garrett
5f12ecf70bad3a78ca43c154,I Want You To Want Me,Cheap Trick,Letters to Cleo,10 Things I Hate About You
5f12ecf70bad3a78ca43c155,I Want You to Want Me,Cheap Trick,Lindsay Lohan,A Little More Personal (Raw)
5f12ecf70bad3a78ca43c156,I Want You To Want Me,Cheap Trick,Propagandhi,How To Clean Everything
5f12ecf70bad3a78ca43c157,I Want You To Want Me,Cheap Trick,The Smashing Pumpkins,[non-album tracks]
5f12ecf70bad3a78ca43c158,I Want You With Me,Bobby Darin,Elvis Presley,Something for Everybody
5f12ecf70bad3a78ca43c159,"I Want Your Lovin'",The Gants,Wolfie,The Gants Never Again!
5f12ecf70bad3a78ca43c15a,I Want Your Sex,George Michael,Big Daddy,Cutting Their Own Groove
5f12ecf70bad3a78ca43c15b,I Want Your World to Turn,Cruzados,Heart,Brigade
5f12ecf70bad3a78ca43c15c,I Was Born to Love You,Freddie Mercury,Andrew W.K.,The
5f12ecf70bad3a78ca43c15d,"I Was Country When Country Wasn't Cool",Barbara Mandrell,Lynn Anderson,20 All Time Classics
5f12ecf70bad3a78ca43c15e,I Was Doing All Right,George Gershwin,Davina,Red Hot + Rhapsody: The Gershwin Groove
5f12ecf70bad3a78ca43c15f,"I Was Made for Lovin' You",KISS,Faster Pussycat,Between the Valley of the Ultra Pussy
5f12ecf70bad3a78ca43c160,"I Was Made For Lovin' You",KISS,Killing Heidi,"Andrew Denton's Musical Challenge 2"
5f12ecf70bad3a78ca43c161,"I Was Made For Lovin' You",KISS,Paulina Rubio,Border Girl
5f12ecf70bad3a78ca43c162,I Was Made for Loving You,KISS,Chill,Heavy Breathing: The Crunch High-Energy Workout
5f12ecf70bad3a78ca43c163,I Was Made for Loving You,KISS,FreQ. Nasty,"Freq's Geeks & Mutilations"
5f12ecf70bad3a78ca43c164,I Was Made For Loving You,KISS,Kilt,Kilt
5f12ecf70bad3a78ca43c165,I Was Made for Loving You,KISS,Project Of Pop,Popmusic
5f12ecf70bad3a78ca43c166,I Was Made For Loving You,KISS,Queen of Japan,Soundklash (Eli Illy)
5f12ecf70bad3a78ca43c167,I Was Made For Loving You,KISS,Scooter,24 Carat Gold
5f12ecf70bad3a78ca43c168,I Was Made for Loving You,KISS,Wig Wam,Gods of Thunder: A Norwegian Tribute to Kiss
5f12ecf70bad3a78ca43c169,I Was Made to Love Her,Stevie Wonder,Michael Jackson,Hello World: The Motown Solo Collection (disc 3)
5f12ecf70bad3a78ca43c16a,I Was Made To Love Her,Stevie Wonder,The Beach Boys,Smiley Smile / Wild Honey
5f12ecf70bad3a78ca43c16b,I Was Meant for the Stage,The Decemberists,Kiki & Herb,Kiki & Herb Will Die for You (disc 2)
5f12ecf70bad3a78ca43c16c,I Was Only Joking,Rod Stewart,Jani Lane,Forever Mod: Portrait of a Storyteller
5f12ecf70bad3a78ca43c16d,I Was Young When I Left Home,Bob Dylan,Antony,Dark Was the Night
5f12ecf70bad3a78ca43c16e,I Washed My Hands In Muddy Water,Stonewall Jackson,Elvis Presley,"Elvis Country: I'm 10,000 Years Old"
5f12ecf70bad3a78ca43c16f,I Wave Bye Bye,Jesse Winchester,Jimmy Buffett,Songs From St. Somewhere
5f12ecf70bad3a78ca43c170,I Who Have Nothing,Ben E. King,Luther Vandross,Power of Love
5f12ecf70bad3a78ca43c171,I Who Have Nothing,Ben E. King,Shirley Bassey,Shirley Bassey Birthday Concert
5f12ecf70bad3a78ca43c172,I Will,Billy Fury,Christy Moore,Listen
5f12ecf70bad3a78ca43c173,I Will,The Beatles,Alison Krauss,"Now That I've Found You - A Collection"
5f12ecf70bad3a78ca43c174,I Will,The Beatles,Anamanaguchi,"WANNA HLD YR HANDHELD, VOL. 1"
5f12ecf70bad3a78ca43c175,I Will,The Beatles,Art Garfunkel,Across America
5f12ecf70bad3a78ca43c176,I Will,The Beatles,Ben Taylor,"Bye Bye, Love"
5f12ecf70bad3a78ca43c177,I Will,The Beatles,Daniel Johnston,More Songs Of Pain
5f12ecf70bad3a78ca43c178,I Will,The Beatles,Joe Goldmark,"Steelin' the Beatles"
5f12ecf70bad3a78ca43c179,I Will,The Beatles,John Holt,1000 Volts Of Holt (Bonus Disc)
5f12ecf70bad3a78ca43c17a,I Will,The Beatles,Jonathan Coulton,Thing a Week II
5f12ecf70bad3a78ca43c17b,I Will,The Beatles,"Maura O'Connell",Just in Time
5f12ecf70bad3a78ca43c17c,I Will,The Beatles,Rose Melberg,Portola
5f12ecf70bad3a78ca43c17d,I Will,The Beatles,Tim Curry,The Best of Tim Curry
5f12ecf70bad3a78ca43c17e,I Will,The Beatles,Tony Furtado,Bluegrass Goes to Town: Pop Songs Bluegrass Style
5f12ecf70bad3a78ca43c17f,I Will,The Beatles,Tuck & Patti,Paradise Found
5f12ecf70bad3a78ca43c180,I Will Always Be Waiting for You,Jim and Jesse,The Seldom Scene,Scene It All
5f12ecf70bad3a78ca43c181,I Will Always Do,Manges,Screeching Weasel,Teen Punks in Heat
5f12ecf70bad3a78ca43c182,I Will Always Love You,Dolly Parton,Candida Clauseri,Canadian Idol - Greatest Moments
5f12ecf70bad3a78ca43c183,I Will Always Love You,Dolly Parton,LeAnn Rimes,Unchained Melody: The Early Years
5f12ecf70bad3a78ca43c184,I Will Always Love You,Dolly Parton,Linda Ronstadt,Prisoner in Disguise
5f12ecf70bad3a78ca43c185,I Will Always Love You,Dolly Parton,Melissa Etheridge,"Just Because I'm a Woman"
5f12ecf70bad3a78ca43c186,I Will Always Love You,Dolly Parton,Whitney Houston,The Greatest Hits
5f12ecf70bad3a78ca43c187,I Will Be Home Again,The Golden Gate Quartet,Elvis Presley,Elvis Is Back!
5f12ecf70bad3a78ca43c188,I Will Dare,The Replacements,The Celibate Rifles,"I'm in Love... With That Song!"
5f12ecf70bad3a78ca43c189,I Will Follow,U2,Collective Soul,"1999-07-04: Summerfest, Milwaukee, WI, USA (disc 2)"
5f12ecf70bad3a78ca43c18a,I Will Follow,U2,Counting Crows,[non-album tracks]
5f12ecf70bad3a78ca43c18b,I Will Follow,U2,Fear Factory,Transgression
5f12ecf70bad3a78ca43c18c,I Will Follow,U2,MxPx,On the Cover II
5f12ecf70bad3a78ca43c18d,I Will Follow,U2,Spahn Ranch,We Will Follow: A Tribute to U2
5f12ecf70bad3a78ca43c18e,I Will Follow,U2,The Replacements,The Shit Hits the Fans ... and More
5f12ecf70bad3a78ca43c18f,I Will Follow Him,Petula Clark,Sandy Posey,"Hit-Diary, Volume 6: 1963"
5f12ecf70bad3a78ca43c190,I Will Follow You Into the Dark,Death Cab for Cutie,Amy Millan,"2006-12-07: KCRW Morning Becomes Eclectic, Santa Monica, California, USA"
5f12ecf70bad3a78ca43c191,I Will Never Be the Same,Paul Oakley,The Benjamin Gate,Eterne: Never Be the Same
5f12ecf70bad3a78ca43c192,I Will Refuse,Pailhead,Soulfly,3
5f12ecf70bad3a78ca43c193,I Will Remember You,Sarah McLachlan,Kenny Rogers,All the Hits & All New Love Songs: After Dark
5f12ecf70bad3a78ca43c194,I Will Remember You,Sarah McLachlan,Solas,The Hour Before Dawn
5f12ecf70bad3a78ca43c195,I will survive,Gloria Gaynor,49Ers,49ers
5f12ecf70bad3a78ca43c196,I Will Survive,Gloria Gaynor,Andrés Calamaro,Las otras caras de alta suciedad
5f12ecf70bad3a78ca43c197,I will survive,Gloria Gaynor,Billie Jo Spears,The Best of Billie Jo Spears
5f12ecf70bad3a78ca43c198,I Will Survive,Gloria Gaynor,CAKE,Fashion Nugget
5f12ecf70bad3a78ca43c199,I Will Survive,Gloria Gaynor,Chantay Savage,"I Will Survive (Doin' It My Way)"
5f12ecf70bad3a78ca43c19a,I Will Survive,Gloria Gaynor,Diana Ross,Take Me Higher
5f12ecf70bad3a78ca43c19b,I Will Survive,Gloria Gaynor,Hermes House Band,Thuis
5f12ecf70bad3a78ca43c19c,I Will Survive,Gloria Gaynor,Johnny Mathis,Celebration
5f12ecf70bad3a78ca43c19d,I Will Survive,Gloria Gaynor,MakroSoft,Stereo Also Playable Mono
